,"(0,0)","(0,1)","(0,2)","(1,0)","(1,1)","(1,2)","(2,0)","(2,1)","(2,2)",Winner
429,2,1,0,2,1,1,2,0,1,2
430,2,1,2,2,1,1,1,2,1,0
431,2,2,1,2,1,2,1,1,1,1
432,1,2,2,1,0,1,1,2,0,1
433,1,2,0,1,0,0,1,0,2,1
434,2,1,2,1,1,2,0,1,0,1
435,0,2,1,2,0,1,2,1,1,1
436,2,1,2,1,2,1,1,2,1,0
437,2,2,1,1,1,2,1,1,2,1
438,2,0,0,2,1,1,2,2,1,2
439,2,2,2,1,1,1,1,2,2,1
440,1,2,2,1,2,1,2,1,2,2
441,0,1,2,0,2,0,2,0,1,2
442,1,0,2,0,0,2,1,0,2,2
443,1,1,2,2,2,2,1,1,1,1
444,1,2,1,1,2,1,2,1,2,0
445,2,2,1,2,1,1,2,0,0,2
446,2,1,1,2,1,2,2,1,1,1
447,2,1,2,1,2,2,1,2,1,0
448,2,1,2,1,1,2,1,2,2,2
449,1,1,2,2,2,1,1,1,2,0
450,2,2,1,1,1,2,2,1,2,0
451,1,2,2,2,1,2,2,1,1,1
452,2,2,1,2,2,2,1,1,1,1
453,1,2,2,0,1,2,0,2,1,1
454,2,1,0,2,1,0,1,1,2,1
455,2,1,2,2,1,2,1,2,1,0
456,2,1,2,2,2,2,1,1,1,1
457,1,2,1,2,2,1,1,1,2,0
458,1,2,2,1,0,0,1,0,0,1
459,1,1,2,2,2,1,1,2,2,0
460,1,2,1,2,1,2,2,2,1,1
461,2,1,2,2,1,2,1,2,1,0
462,1,1,1,0,0,2,0,2,0,1
463,1,2,2,1,2,2,1,2,1,2
464,1,2,2,1,2,1,2,1,1,2
465,2,1,1,1,2,1,1,2,2,2
466,1,1,2,2,2,2,1,2,1,2
467,2,0,0,1,1,1,0,2,0,1
468,1,2,1,2,1,2,1,1,2,1
469,1,1,2,2,1,1,1,2,2,0
470,1,1,1,2,2,2,2,1,1,2
471,1,2,1,1,2,1,2,2,2,2
472,1,2,1,1,1,2,2,1,2,0
473,1,1,2,1,1,1,2,2,2,2
474,1,2,1,2,1,2,2,2,1,1
475,2,1,1,1,1,1,2,2,2,2
476,2,1,2,1,1,2,2,1,2,2
477,0,2,1,1,1,1,0,2,2,1
478,2,1,2,2,1,2,1,2,1,0
479,1,2,2,1,2,1,1,2,1,2
480,2,2,0,2,1,1,2,0,1,2
481,2,2,0,1,1,1,1,0,2,1
482,1,1,1,1,0,0,2,2,2,2
483,1,0,2,1,0,2,0,0,2,2
484,1,2,1,0,2,2,1,2,0,2
485,2,1,1,2,2,1,2,1,1,1
486,2,0,0,2,0,0,2,1,1,2
487,2,1,1,2,1,2,1,2,1,1
488,1,1,2,2,1,1,2,2,1,1
489,0,2,2,1,2,1,2,1,0,2
490,2,2,1,1,1,2,2,1,2,0
491,1,0,2,2,0,2,1,1,1,1
492,1,0,2,1,2,0,1,0,0,1
493,1,1,2,1,1,2,2,2,2,2
494,1,1,0,2,1,2,2,0,1,1
495,1,0,1,2,2,2,1,0,1,2
496,0,1,1,1,0,2,2,2,2,2
497,2,0,1,2,0,1,0,0,1,1
498,2,1,2,1,2,1,2,1,1,2
499,2,0,2,1,1,1,2,2,0,1
500,1,1,2,2,1,2,1,2,2,2
501,1,2,1,2,2,1,2,1,2,0
502,2,1,1,2,2,1,1,1,2,2
503,0,0,2,0,1,2,1,0,2,2
504,1,2,2,2,1,1,1,2,2,0
505,2,1,1,2,1,2,1,1,2,1
506,1,2,2,1,2,2,1,1,2,2
507,2,1,1,2,2,1,1,2,1,1
508,1,2,1,2,2,1,1,2,2,2
509,1,2,2,1,1,1,2,2,2,2
510,2,0,2,2,1,0,1,1,1,1
511,2,1,1,2,2,1,1,1,2,2
512,1,2,2,1,1,1,0,2,0,1
513,1,1,1,1,2,2,1,2,2,1
514,1,2,1,2,2,2,2,1,1,2
515,1,2,2,2,1,1,1,2,1,1
516,0,2,0,1,2,2,1,2,1,2
517,2,0,1,1,0,1,2,2,2,2
518,1,1,1,1,2,2,2,1,2,1
519,2,1,2,1,1,2,2,1,1,1
520,2,2,2,2,1,2,1,1,1,1
521,1,2,1,2,1,1,2,1,2,0
522,2,1,1,2,1,2,1,2,1,1
523,2,1,1,1,2,2,2,2,1,0
524,1,1,2,1,1,2,2,2,1,1
525,2,1,2,1,1,2,2,2,1,0
526,1,1,0,0,1,2,2,1,2,1
527,1,1,2,2,1,1,1,2,2,0
528,0,2,1,1,2,1,0,2,1,1
529,0,2,2,1,1,1,1,0,2,1
530,1,1,1,2,2,2,2,1,1,2
531,1,1,1,0,0,2,0,0,2,1
532,0,1,2,1,2,2,2,1,0,2
533,1,2,2,2,2,1,1,2,1,2
534,1,2,2,2,1,1,1,1,2,0
535,1,2,1,2,2,1,1,1,2,0
536,1,1,2,2,2,1,1,2,1,0
537,2,1,2,2,2,1,1,2,1,0
538,1,2,2,2,2,1,2,1,1,2
539,1,2,2,1,1,2,2,1,1,1
540,2,2,1,1,1,2,1,2,2,1
541,2,1,1,2,2,1,0,0,1,1
542,1,2,2,2,1,2,1,1,2,2
543,0,0,0,2,0,2,1,1,1,1
544,2,0,1,1,1,1,2,0,2,1
545,1,2,0,1,0,0,1,2,0,1
546,2,2,1,0,2,1,0,1,1,1
547,1,2,1,1,2,0,1,0,2,1
548,1,2,2,1,2,1,1,1,2,1
549,2,1,1,0,2,0,1,2,2,2
550,2,0,0,1,1,1,1,2,2,1
551,2,2,2,1,1,1,1,2,1,1
552,1,0,2,0,1,2,2,1,1,1
553,2,2,1,2,0,0,2,1,1,2
554,1,2,2,1,1,2,1,1,2,2
555,2,1,2,1,1,1,2,2,1,1
556,1,0,1,1,2,0,1,2,2,1
557,2,1,2,2,2,1,1,2,1,0
558,2,2,1,0,1,1,1,0,2,1
559,2,2,1,2,1,2,1,2,1,1
560,2,1,2,2,1,1,2,1,2,1
561,1,1,2,2,1,1,1,2,2,0
562,2,1,1,1,2,1,2,2,1,1
563,1,1,1,2,2,2,2,2,1,2
564,2,1,2,2,1,2,1,2,1,0
565,0,1,2,2,1,1,0,1,2,1
566,1,1,1,2,1,1,2,2,2,2
567,2,2,1,2,1,2,1,2,1,1
568,2,1,1,2,2,1,2,2,1,1
569,1,2,2,2,1,1,1,2,1,1
570,1,2,0,0,2,1,1,2,2,2
571,2,1,1,2,1,2,2,1,1,1
572,1,2,2,1,1,1,2,1,2,1
573,0,2,1,1,2,1,2,0,1,1
